Year,Province,Flood,Landslide,Storm,Earthquake,Heavy Rainfall,Cold Wave,Animal Incidents,Forest Fire,Avalanche,Wind Storm,Fire,Snow Storm,Thunderbolt,Epidemic
2011,1,57,13,4,3,9,0,0,0,0,0,127,0,38,0
2012,1,11,23,17,0,6,1,0,0,0,0,284,0,69,0
2013,1,57,14,0,0,5,0,0,0,1,5,231,0,46,0
2014,1,8,9,0,0,6,0,0,0,2,5,254,0,60,12
2015,1,6,8,0,14,2,0,0,0,0,13,104,0,29,0
2016,1,77,50,0,0,24,0,0,0,0,5,0,0,60,1
2017,1,89,43,0,0,7,0,0,0,0,14,0,0,63,1
2018,1,14,73,0,0,20,1,30,0,0,16,0,0,85,0
2019,1,79,170,0,0,24,0,65,0,0,29,0,1,93,0
2020,1,20,88,0,4,52,0,52,4,0,25,0,0,73,0
2021,1,16,60,0,0,31,0,102,15,0,16,0,2,69,0
2022,1,15,51,0,4,19,0,70,31,0,31,0,0,57,0
2023,1,83,103,0,0,36,0,160,96,1,33,0,0,67,0
2024,1,1,6,0,0,1,0,68,315,0,15,0,0,18,0
2011,2,51,2,1,0,12,41,0,0,0,0,107,0,12,0
2012,2,1,0,4,0,1,24,0,0,0,0,206,0,13,0
2013,2,28,1,0,0,3,1,0,0,0,4,283,0,20,0
2014,2,10,0,0,0,5,0,0,0,0,5,219,0,16,0
2015,2,1,0,0,8,0,0,0,0,0,0,146,0,11,0
2016,2,20,0,0,0,17,0,0,0,0,7,39,0,18,0
2017,2,131,0,0,0,18,1,0,0,0,12,0,0,21,2
2018,2,8,0,0,0,18,46,53,0,0,43,0,0,19,0
2019,2,36,0,0,0,17,0,64,0,0,58,0,0,29,0
2020,2,5,1,0,0,98,0,31,1,0,22,0,0,38,0
2021,2,12,0,0,0,87,0,29,2,0,7,0,0,19,0
2022,2,2,0,0,0,27,0,18,3,0,29,0,0,16,0
2023,2,6,0,0,0,20,0,34,21,0,31,0,0,17,0
2024,2,0,0,0,0,0,0,13,23,0,11,0,0,3,0
2011,3,30,21,2,3,21,0,0,0,0,0,127,0,26,0
2012,3,3,44,2,0,35,0,0,0,0,0,268,0,59,1
2013,3,31,10,0,0,13,0,0,0,0,0,242,0,67,0
2014,3,17,19,0,0,5,0,0,0,0,2,231,0,37,0
2015,3,2,18,2,13,2,0,0,0,0,3,132,0,39,0
2016,3,27,51,0,0,17,0,0,0,0,9,0,0,49,0
2017,3,36,58,0,0,10,0,0,0,0,4,0,0,37,1
2018,3,22,89,0,0,22,0,23,0,0,15,0,0,48,0
2019,3,40,124,0,0,13,0,42,0,1,10,0,0,67,0
2020,3,19,85,0,2,31,0,42,1,0,10,0,0,31,0
2021,3,32,49,0,0,29,0,53,9,0,4,0,0,12,0
2022,3,13,52,0,0,16,0,41,10,0,6,0,0,30,0
2023,3,15,102,0,1,16,0,46,41,3,4,0,0,17,0
2024,3,1,6,0,0,0,0,15,122,0,3,0,0,6,0
2011,4,28,51,4,0,8,0,0,0,0,0,32,0,15,1
2012,4,11,15,0,0,3,0,0,0,1,0,53,0,12,1
2013,4,23,26,0,1,5,1,0,0,1,0,49,0,21,0
2014,4,2,10,4,0,0,0,0,0,0,0,50,0,17,0
2016,4,26,55,0,0,14,0,0,0,0,5,118,0,24,0
2017,4,32,27,0,0,13,0,0,0,0,9,129,0,20,0
2018,4,13,68,0,0,26,0,6,0,0,4,192,2,23,0
2019,4,16,59,0,0,13,0,14,0,1,28,165,1,35,0
2020,4,11,131,0,4,34,0,25,0,0,4,125,0,45,0
2021,4,38,66,0,2,46,0,27,15,3,4,61,0,23,0
2022,4,4,77,0,1,19,0,24,5,3,6,0,0,38,0
2023,4,18,95,0,1,24,0,24,32,0,7,0,1,32,0
2024,4,1,1,0,0,0,0,15,86,0,5,0,0,16,0
2015,4,0,11,2,11,0,0,0,0,2,0,26,0,19,0
2011,5,48,12,4,0,39,0,0,0,0,0,74,0,18,3
2012,5,11,3,1,0,1,0,0,0,0,0,186,0,18,7
2013,5,55,19,1,1,12,0,0,0,0,1,121,0,24,0
2014,5,9,17,0,0,2,0,0,0,0,1,119,0,20,0
2015,5,4,7,0,11,0,0,0,0,0,0,69,0,17,0
2016,5,47,48,0,0,19,0,0,0,0,1,313,0,26,0
2017,5,38,15,0,0,20,0,0,0,0,11,118,0,25,0
2018,5,8,33,0,0,29,0,20,0,0,47,0,0,35,5
2019,5,17,34,0,0,26,0,36,0,1,37,0,0,65,0
2020,5,18,86,0,0,88,0,33,0,0,11,0,0,49,0
2021,5,23,58,0,0,87,0,49,7,0,4,0,0,35,2
2022,5,5,47,0,1,56,0,35,23,0,28,0,0,55,0
2023,5,13,101,0,5,44,0,48,58,0,18,0,0,45,0
2024,5,2,6,0,0,3,0,25,255,0,14,0,0,11,0
2011,6,15,21,0,0,4,0,0,0,0,0,7,0,3,0
2012,6,5,11,10,0,46,0,0,0,0,0,57,0,24,2
2013,6,29,16,0,1,9,0,0,0,1,0,33,0,15,1
2014,6,9,15,0,0,2,0,0,0,0,1,33,0,11,0
2016,6,15,13,0,0,13,0,0,0,0,0,52,0,13,2
2017,6,4,10,0,0,6,0,0,0,1,5,28,0,7,8
2018,6,6,31,0,0,63,0,1,0,0,2,54,0,21,5
2019,6,11,38,0,0,4,0,6,0,3,9,89,1,39,0
2020,6,8,56,0,0,43,0,4,1,0,4,62,0,26,0
2021,6,8,29,0,0,17,0,12,4,0,2,102,1,22,0
2022,6,8,64,0,0,14,0,8,8,0,5,70,1,32,0
2023,6,6,36,0,47,6,0,7,13,1,3,96,0,36,0
2024,6,1,6,0,0,3,0,6,96,0,24,119,0,14,0
2015,6,0,9,0,9,0,0,0,0,1,1,16,0,11,3
2011,7,30,6,2,0,3,0,0,0,0,0,21,0,8,1
2012,7,3,6,7,1,44,0,0,0,0,0,67,0,15,17
2013,7,43,11,0,0,10,0,0,0,3,0,62,0,20,0
2014,7,10,5,0,0,1,0,0,0,0,1,51,0,16,0
2015,7,2,9,0,9,11,0,0,0,0,0,39,0,22,0
2016,7,18,17,0,0,8,0,0,0,0,1,95,0,16,1
2017,7,8,10,0,0,21,0,0,0,0,2,38,0,13,0
2018,7,9,26,0,0,69,0,8,0,0,69,56,0,13,0
2019,7,7,24,0,0,6,0,23,0,0,15,133,0,55,0
2020,7,16,45,0,0,14,0,35,0,0,3,136,0,43,0
2021,7,25,75,0,0,61,0,38,12,0,7,231,0,27,0
2022,7,8,36,0,14,18,0,54,3,0,13,71,0,36,0
2023,7,15,57,0,77,28,0,40,15,3,28,0,0,50,0
2024,7,0,3,0,0,1,0,19,28,0,5,0,0,28,0
